"Station.ID","Test.Number","Project.Code","Sample.ID","First.Trigger.Date","Collection_Date","Sample.Type.New","Collection.Method","Depth","Depth.Unit","Matrix","Test.Name","Storet.Code","Method","Measure.Date","Value","Sigfig.Value","Uncertainty","MDL","PQL","RDL","Units","Remark.Code","Flag","Receive.Date","LIMS.Number","Collection.Agency","Source","Owner","Validation.Level","Validator","Sampling.Purpose","Data.Investigation","T.Depth","Upper.Depth","Lower.Depth","DCS.METERS.","Filtration.Date","Sample.Type","QC.Type","Discharge","Up.Down.Stream","Weather.Code","Program.Type","NDEC","Sample.Comments","Result.Comments"
"CES02",16,"CESWQ","P48237-1",NA,2010-08-31 07:50:00,"SAMP","G",0.5,"m","SA","TOTAL SUSPENDED SOLIDS",530,"SM 2540 D","01-SEP-2010 12:38",-3,-3,"",3,12,3,"mg/L","U",NA,"01-SEP-2010 10:39","23019001","FWEC","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,1,0,1,"MON",1,"Low flow at station.  No chop.  Wind 0-5 mph.  Sample medium yellowish brown, low solids.  PAR:  Clear sky, 100% sun.",NA
"CES02",12,"CESWQ","P92909-9",NA,2018-04-18 09:21:00,"SAMP","G",0.5,"m","SA","TURBIDITY",82079,"SM2130B","19-APR-2018 13:55",4,4,"+/- 0.1",0.1,0.4,0.1,"NTU","",NA,"19-APR-2018 10:38","64103009","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",1,"Calm. Clear. Still. 80s. Ebb. [FKPAR] cancelled.",NA
"CES02",16,"CESWQ","P87452-8",NA,2017-06-21 12:43:00,"SAMP","G",0.5,"m","SA","TOTAL SUSPENDED SOLIDS",530,"SM2540D","23-JUN-2017 08:54",-4,-4,"+/- 4",4,15,4,"mg/L","U",NA,"22-JUN-2017 10:36","59215008","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",1,"S wind 10mph, overcast",NA
"CES02",16,"CESWQ","P62970-13",NA,2013-06-18 14:34:00,"SAMP","G",0.5,"m","SA","TOTAL SUSPENDED SOLIDS",530,"SM 2540 D","21-JUN-2013 09:52",5,5,"+/- 3",3,12,3,"mg/L","I",NA,"19-JUN-2013 11:58","40059013","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,3,"MON",1,"outgoing tide, wind <5 SSE, flat, 80+ temp, medium overcast",NA
"CES02",12,"CESWQ","P83441-9",NA,2016-05-10 13:22:00,"SAMP","G",0.5,"m","SA","TURBIDITY",82079,"SM2130B","12-MAY-2016 08:13",6.2,6.2,"+/- 0.4",0.1,0.4,0.1,"NTU","",NA,"11-MAY-2016 10:41","55867009","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,3,"MON",1,"Wind W 5, rippled surface, slack tide",NA
"CES02",98,"CESWQ","P41362-25",NA,2008-10-14 13:02:00,"SAMP","G",0.5,"","SA","SALINITY",480,"","14-OCT-2008 13:04",0.23,0.2,"",NA,NA,NA,"PSU","",NA,"14-OCT-2008 17:02","14196025","FWEC","WMD","WMD",2,"WMD","BA","NO",1.1,NA,NA,NA,"",3,NA,1,0,3,"MON",1,"Low to moderate flow at station.  Very light chop.  Sample medium yellowish brown, moderate solids.  PAR:  Partly cloudy, 50% sun, 50% cloud cover.",NA
"CES02",12,"CESWQ","P82646-8",NA,2016-03-08 14:00:00,"SAMP","G",0.5,"m","SA","TURBIDITY",82079,"SM2130B","10-MAR-2016 07:55",4.5,4.5,"+/- 0.3",0.1,0.4,0.1,"NTU","",NA,"09-MAR-2016 11:27","55164008","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,3,"MON",1,"Rippled surface, slight incoming tide, SE wind at 5 and gusting. K value: 2.10",NA
"CES02",179,"CESWQ","P85050-8",NA,2016-11-08 13:00:00,"SAMP","G",0.5,"m","SA","CHLOROPHYLL-A(LC)",98011,"EPA 447.0","30-NOV-2016 15:39",3.47,3.47,"+/- 0.373",0.036,0.142,0.036,"ug/L","",NA,"09-NOV-2016 10:04","57285017","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"09-NOV-2016 15:17",3,NA,0,0,3,"MON",NA,"Incoming tide. Rippled surface to light chop. NE wind at ~ 5-10 and gusting higher. . K-value:2.87 R-square:0.97",NA
"CES02",13,"CESWQ","P107674-10",NA,2020-04-28 08:38:00,"SAMP","G",0.5,"m","SA","COLOR",80,"SM2120C","29-APR-2020 13:48",45,45,"+/- 8",1,4,1,"PCU","",NA,"29-APR-2020 10:16","71922010","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",0,"Slack tide. Partly cloudy with sunshine. Light NE wind. Temp high 60's. Sample area water is turbid in appearance. 1 filter used to process samples. Filter turned light brown green.",NA
"CES02",179,"CESWQ","P84365-9",NA,2016-09-13 14:39:00,"SAMP","G",0.5,"m","SA","CHLOROPHYLL-A(LC)",98011,"EPA 447.0","22-SEP-2016 17:25",3.9,3.9,"+/- 0.419",0.036,0.142,0.036,"ug/L","",NA,"14-SEP-2016 10:45","56635009","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"14-SEP-2016 13:50",3,NA,0,0,3,"MON",NA,"Calm. HW slack.",NA
